dia;banda_nm;genotipo_a;condicao_a;genotipo_b;condicao_b;diferenca_media;q_tukey;q_critico_tukey;significativo_tukey;F_anova;p_anova
D02;421;BR16;IRRIG;CD202;NIRRIG;0.07049014634160011;5.322113624088074;4.0724590126981886;True;6.187466255507755;2.4864083145001725e-05
D02;422;BR16;IRRIG;CD202;NIRRIG;0.06942061600598048;5.243110680610135;4.0724590126981886;True;6.160060757351585;2.6229560899375027e-05
D02;423;BR16;IRRIG;CD202;NIRRIG;0.06881760958334882;5.196680287583577;4.0724590126981886;True;6.186486593411527;2.4911641967514032e-05
D02;424;BR16;IRRIG;CD202;NIRRIG;0.06885506873111291;5.192729363064241;4.0724590126981886;True;6.230613415529158;2.285744211310277e-05
D02;425;BR16;IRRIG;CD202;NIRRIG;0.06929298540484496;5.221295851330008;4.0724590126981886;True;6.238741447948432;2.249804545767497e-05
D02;426;BR16;IRRIG;CD202;NIRRIG;0.06930102947371486;5.214295147637847;4.0724590126981886;True;6.208888775127618;2.3846594866412638e-05
D02;427;BR16;IRRIG;CD202;NIRRIG;0.06924673139929372;5.202929661654235;4.0724590126981886;True;6.168641679296082;2.5794108150679236e-05
D02;428;BR16;IRRIG;CD202;NIRRIG;0.06947561493867926;5.214604197898796;4.0724590126981886;True;6.113148149193109;2.874406531383299e-05
D02;429;BR16;IRRIG;CD202;NIRRIG;0.06975985188884382;5.222514403038906;4.0724590126981886;True;6.034110589988015;3.353999125664825e-05
D02;430;BR16;IRRIG;CD202;NIRRIG;0.0699730775407641;5.224367745219407;4.0724590126981886;True;5.975317070890411;3.7621719877184506e-05
D02;431;BR16;IRRIG;CD202;NIRRIG;0.06984579226058041;5.2044324763531655;4.0724590126981886;True;5.939277798889697;4.0366571738205146e-05
D02;432;BR16;IRRIG;CD202;NIRRIG;0.06932242552220824;5.159722366950334;4.0724590126981886;True;5.913967958717723;4.241354809361888e-05
D02;433;BR16;IRRIG;CD202;NIRRIG;0.06888665348749101;5.122449441540356;4.0724590126981886;True;5.896838597463935;4.385770975295565e-05
D02;434;BR16;IRRIG;CD202;NIRRIG;0.06866383896409323;5.098726609530519;4.0724590126981886;True;5.881613275217031;4.518271697385472e-05
D02;435;BR16;IRRIG;CD202;NIRRIG;0.06852057379667853;5.082355409242333;4.0724590126981886;True;5.870591206187779;4.6166927224513436e-05
D02;436;BR16;IRRIG;CD202;NIRRIG;0.06827467734718096;5.061861255689045;4.0724590126981886;True;5.859247195565468;4.7202354795252036e-05
D02;437;BR16;IRRIG;CD202;NIRRIG;0.0685227925439642;5.076752928718973;4.0724590126981886;True;5.859531760196016;4.717609831707964e-05
D02;438;BR16;IRRIG;CD202;NIRRIG;0.0690204719683043;5.108758993358304;4.0724590126981886;True;5.852651833052196;4.781502706164748e-05
D02;439;BR16;IRRIG;CD202;NIRRIG;0.06926838013753023;5.120646763777009;4.0724590126981886;True;5.824334245686886;5.0537558193012483e-05
D02;440;BR16;IRRIG;CD202;NIRRIG;0.06918366700792644;5.103795306842024;4.0724590126981886;True;5.813505847588151;5.1619270489691357e-05
D02;441;BR16;IRRIG;CD202;NIRRIG;0.06861530791633474;5.051069073698624;4.0724590126981886;True;5.781782048173007;5.4923925978636144e-05
D02;442;BR16;IRRIG;CD202;NIRRIG;0.06790555424036793;4.990700865653157;4.0724590126981886;True;5.737281143755839;5.992036267553639e-05
