seed;fold;dia;classe_real_nirrig;classe_predita_nirrig;score_plsda
43;2;D02;1;0;0.4291007450847407
43;2;D02;1;1;0.5071357973636182
43;2;D02;1;0;0.4959561821781762
43;2;D03;0;0;0.44414118128963936
43;2;D03;0;0;0.38490559470528746
43;2;D03;0;0;0.4115236904222928
43;2;D03;1;1;0.8519623784790082
43;2;D03;1;1;0.8645801484477731
43;2;D03;0;0;0.4744687470857951
43;2;D03;0;0;0.43999573659837826
43;2;D03;0;0;0.3191974039705171
43;2;D03;0;0;0.27960783371259856
43;2;D03;1;1;0.9402584928933966
43;2;D03;0;0;0.32676052533446387
43;2;D03;0;0;0.3089718173726028
43;2;D03;0;0;0.17445331524642388
43;2;D03;1;1;0.6657887597434053
43;2;D03;0;0;0.3242580820553995
43;2;D03;0;0;0.29831375935441573
43;2;D03;0;0;0.21858289854211227
43;2;D03;1;1;1.1389447619773434
43;2;D03;1;1;1.1741819788877463
43;2;D03;1;1;0.7836833905419174
43;2;D04;0;0;-0.0465464200896234
43;2;D04;0;0;-0.1143066460152884
43;2;D04;0;0;-0.014716102462372316
43;2;D04;1;0;0.4632206993034392
43;2;D04;1;0;0.4602304460415116
43;2;D04;1;1;0.5010237099308512
43;2;D04;0;0;-0.08639746787285818
43;2;D04;0;0;-0.11721079181777061
43;2;D04;0;0;0.270941762918657
43;2;D04;1;1;0.5789338354221124
43;2;D04;1;1;0.5349875700984427
43;2;D04;0;0;-0.09042472230306531
43;2;D04;1;0;0.14677251401158403
43;2;D04;1;0;0.33632129258943155
43;2;D04;0;0;0.3903014784337168
43;2;D04;0;0;0.34994645265379365
43;2;D04;1;1;0.5857333001248185
43;2;D04;1;0;0.4334804631378991
43;2;D05;0;0;0.03172324593225512
43;2;D05;1;1;0.7445358637722789
43;2;D05;0;0;0.2127873942919133
43;2;D05;0;0;0.19163033796020185
43;2;D05;0;0;0.2872020108307357
43;2;D05;0;0;0.25057810937908176
43;2;D05;0;0;0.22759628773417595
43;2;D05;1;1;0.8824926141561641
43;2;D05;1;0;0.496191328239731
43;2;D05;0;0;-0.05190635588754511
43;2;D05;1;1;1.0584893119508025
43;2;D05;0;0;0.011280000193706896
43;2;D05;1;1;1.1841524797321747
43;2;D06;1;1;0.5889812103893379
43;2;D06;1;1;0.8192956037961711
43;2;D06;1;1;0.8278346807138814
43;2;D06;0;0;0.10128748514982011
43;2;D06;0;0;0.08212959504882489
43;2;D06;1;1;0.7050361139711947
43;2;D06;1;1;0.8379699271214576
43;2;D06;1;1;0.8464304553204341
43;2;D06;1;1;0.8521561655507812
43;2;D06;0;0;-0.04499438739373285
43;2;D06;0;0;-0.05329568464834389
43;2;D06;1;1;0.8054490814394337
43;2;D06;0;0;0.4967167431610645
43;2;D09;0;0;0.2029454663874828
43;2;D09;0;1;0.6880374516912809
43;2;D09;1;1;0.7396313369765887
43;2;D09;1;1;0.7606799050530741
43;2;D09;0;0;0.46391027405462354
43;2;D09;1;1;0.7787018003868449
43;2;D09;1;1;0.5991233831412224
43;2;D09;0;0;0.3422848599274797
43;2;D09;0;0;0.28915676373842464
43;2;D09;0;0;0.25989469001056065
43;2;D09;0;0;0.4450914566809214
43;2;D09;0;0;0.39034865368974947
43;2;D09;1;1;0.5609269046446519
43;2;D09;1;1;0.7883800325022251
