dia;banda_nm;F_anova;p_anova;eta2;significativo_anova
D09;1758;5.340513401276878;0.0001286245217941542;0.12322219978869789;True
D09;1759;5.437691917932095;0.0001062621174273048;0.1251837212761134;True
D09;1760;5.542468139358441;8.649323565967541e-05;0.12728879129266796;True
D09;1761;5.651756485837404;6.978786482568302e-05;0.12947374724018468;True
D09;1762;5.768359575626817;5.551319259761941e-05;0.13179291231282586;True
D09;1763;5.884914557611357;4.416915864284362e-05;0.13409880404086794;True
D09;1764;5.988241343891148;3.607196009937817e-05;0.13613277459938194;True
D09;1765;6.0879179374212296;2.96746460234053e-05;0.13808585712898652;True
D09;1766;6.188005354960699;2.4395703470282913e-05;0.14003812358699308;True
D09;1767;6.285256897622004;2.017037716113837e-05;0.14192662158768024;True
D09;1768;6.386023500420972;1.6565233644701234e-05;0.14387464784630694;True
D09;1769;6.478038713013456;1.3841132285335213e-05;0.14564578161397437;True
D09;1770;6.558284882584524;1.1835236264867723e-05;0.14718441025874876;True
D09;1771;6.629654383562755;1.0297819766204707e-05;0.1485481901021505;True
D09;1772;6.69174786222961;9.124325188377327e-06;0.14973117370253972;True
D09;1773;6.755909781131519;8.052645385040306e-06;0.15095011617839393;True
D09;1774;6.828715783054372;6.988873160978788e-06;0.15232905212144587;True
D09;1775;6.910259500182993;5.9640902015528064e-06;0.15386817126173222;True
D09;1776;6.997994899414172;5.0294038544068175e-06;0.15551792730002906;True
D09;1777;7.081897135089869;4.2735289035881654e-06;0.15708959882208717;True
D09;1778;7.154075121907188;3.715276167305044e-06;0.15843697612214586;True
D09;1779;7.211822311334094;3.3218880237106685e-06;0.15951186974222384;True
D09;1780;7.257549173133058;3.0403137782093363e-06;0.16036107358286802;True
